imageJ_id,Area,individual_id
1,1116.292,202
2,703.359,203
3,671.191,205
4,505.506,201
5,752.164,199
6,866.707,207
7,966.032,206
8,581.354,204
9,273.234,198
10,892.711,184
11,678.74,194
12,912.067,192
13,725.467,196
14,922.628,195
15,623.857,197
16,910.422,191
17,755.679,208
18,746.953,209
19,514.162,193
20,729.086,210
