imageJ_id,Area,individual_id
1,1151.021,105
2,604.17,70
3,672.14,48
4,1520.651,115
5,934.032,26
6,1221.953,35
7,812.587,15
8,687.707,147
9,929.4,79
10,680.018,60
11,908.256,118
12,740.111,113
13,423.073,29
14,475.288,87
15,406.687,84
16,1154.361,57
17,423.231,130
