imageJ_ID,Area,sample_ID.group
1,178.511,3
2,152.031,1
3,193.516,2
4,164.913,4
5,139.467,6
6,119.775,7
7,142.44,8
8,205.4,5
9,189.398,10
10,219.134,11
11,85.811,9
