imageJ_ID,Area,sample_ID.group
1,129.495,46
2,196.598,47
3,143.913,45
4,156.576,48
5,165.795,51
6,106.49,50
7,110.999,59
8,189.573,53
9,215.884,54
10,135.199,55
11,198.586,52
