Well ID,Name,Well,Conc/Dil,595,[Concentration],Count,Mean,Std Dev,CV (%)
SPL1,F05_01_ambient-df.0,B1,,1.136,827.572,3,883.966,50.075,5.665
,,B2,,1.175,901.105,,,,
,,B3,,1.187,923.221,,,,
SPL2,F05_02_ambient-df.0,B4,,1.222,989.193,3,1044.327,56.98,5.456
,,B5,,1.282,1102.989,,,,
,,B6,,1.249,1040.798,,,,
SPL3,F05_03_ambient-df.2,B7,,1.185,919.63,3,956.302,48.37,5.058
,,B8,,1.234,1011.121,,,,
,,B9,,1.195,938.155,,,,
SPL4,F05_06_ambient-df.2,B10,,1.248,1037.585,3,1120.38,71.728,6.402
,,B11,,1.314,1163.668,,,,
,,B12,,1.312,1159.888,,,,
SPL5,F05_08_ambient-df.2,C1,,1.396,1318.484,3,1353.329,43.195,3.192
,,C2,,1.44,1401.658,,,,
,,C3,,1.407,1339.845,,,,
SPL6,F07_05_36C-df.0,C4,,0.925,428.906,3,441.76,13.784,3.12
,,C5,,0.931,440.059,,,,
,,C6,,0.94,456.316,,,,
SPL7,F07_01_ambient-df.0,C7,,0.832,252.352,3,278.438,35.812,12.862
,,C8,,0.868,319.269,,,,
,,C9,,0.838,263.694,,,,
SPL8,F07_04_ambient-df.0,C10,,0.973,517.751,3,571.561,48.936,8.562
,,C11,,1.007,583.533,,,,
,,C12,,1.023,613.4,,,,
SPL9,F07_06_ambient-df.0,D1,,1.276,1092.215,3,1123.972,37.008,3.293
,,D2,,1.315,1164.613,,,,
,,D3,,1.288,1115.087,,,,
STD1,BSA,E1,2000,1.602,1707.131,3,1742.543,32.899,1.888
,,E2,2000,1.636,1772.158,,,,
,,E3,2000,1.623,1748.34,,,,
STD2,BSA,E4,1500,1.518,1548.535,3,1596.044,48.516,3.04
,,E5,1500,1.542,1594.091,,,,
,,E6,1500,1.569,1645.507,,,,
STD3,BSA,E7,1000,1.385,1296.746,3,1276.141,19.343,1.516
,,E8,1000,1.372,1273.306,,,,
,,E9,1000,1.364,1258.373,,,,
STD4,BSA,E10,750,1.114,784.473,3,845.908,55.39,6.548
,,E11,750,1.171,892.031,,,,
,,E12,750,1.154,861.219,,,,
STD5,BSA,F1,500,0.98,532.684,3,577.673,44.342,7.676
,,F2,500,1.027,621.34,,,,
,,F3,500,1.005,578.997,,,,
STD6,BSA,F4,250,0.802,195.076,3,212.655,16.563,7.788
,,F5,250,0.812,214.924,,,,
,,F6,250,0.819,227.967,,,,
STD7,BSA,F7,125,0.772,139.122,3,71.197,58.999,82.867
,,F8,125,0.716,32.698,,,,
,,F9,125,0.721,41.772,,,,
STD8,BSA,F10,0,0.582,<0.000,0,?????,?????,?????
,,F11,0,0.609,<0.000,,,,
,,F12,0,0.592,<0.000,,,,
