Well ID,Name,Well,Conc/Dil,595,[Concentration],Count,Mean,Std Dev,CV (%)
SPL1,F05_01_36C,A1,,1.197,1056.125,3,971.656,77.065,7.931
,,A2,,1.147,953.667,,,,
,,A3,,1.123,905.177,,,,
SPL2,F05_02_36C,A4,,0.926,506.911,3,579.274,64.041,11.055
,,A5,,0.973,602.268,,,,
,,A6,,0.986,628.643,,,,
SPL3,F05_03_36C,A7,,1.022,701.682,3,696.136,49.535,7.116
,,A8,,0.994,644.062,,,,
,,A9,,1.043,742.665,,,,
SPL4,F05_04_36C,A10,,1.21,1083.312,3,1077.834,15.455,1.434
,,A11,,1.214,1089.804,,,,
,,A12,,1.199,1060.385,,,,
SPL5,F05_05_36C,B1,,1.409,1485.027,3,1661.606,153.165,9.218
,,B2,,1.535,1741.273,,,,
,,B3,,1.543,1758.518,,,,
SPL6,F05_06_36C,B4,,1.253,1169.133,3,1274.228,121.807,9.559
,,B5,,1.291,1245.824,,,,
,,B6,,1.37,1407.727,,,,
SPL7,F-05_07_36C,B7,,1.159,979.636,3,1123.956,129.443,11.517
,,B8,,1.25,1162.437,,,,
,,B9,,1.283,1229.796,,,,
SPL8,F05_08_36C,B10,,1.288,1240.143,3,1362.619,110.153,8.084
,,B11,,1.393,1453.579,,,,
,,B12,,1.364,1394.134,,,,
SPL9,F05_01_ambient,C1,,0.985,624.991,3,782.972,136.834,17.476
,,C2,,1.103,864.194,,,,
,,C3,,1.1,859.731,,,,
SPL10,F05_02_ambient,C4,,1.06,777.764,3,1073.167,258.654,24.102
,,C5,,1.26,1182.726,,,,
,,C6,,1.297,1259.011,,,,
SPL11,F05_03_ambient,C7,,1.501,1671.885,3,1795.714,107.766,6.001
,,C8,,1.587,1846.976,,,,
,,C9,,1.597,1868.28,,,,
SPL12,F05_04_ambient,C10,,1.252,1167.307,3,1142.757,38.212,3.344
,,C11,,1.218,1098.731,,,,
,,C12,,1.249,1162.234,,,,
SPL13,F05_05_ambient,D1,,1.027,710.812,3,738.878,30.099,4.074
,,D2,,1.039,735.158,,,,
,,D3,,1.056,770.663,,,,
SPL14,F05_06_ambient,D4,,1.558,1787.936,3,1925.899,121.472,6.307
,,D5,,1.649,1972.969,,,,
,,D6,,1.671,2016.792,,,,
SPL15,F05_07_ambient,D7,,1.572,1817.152,3,1682.3,154.559,9.187
,,D8,,1.423,1513.634,,,,
,,D9,,1.522,1716.115,,,,
SPL16,F05_08_ambient,D10,,1.677,2030.183,1,2030.183,?????,?????
,,D11,,1.723,>2100.000,,,,
,,D12,,1.757,>2100.000,,,,
STD1,BSA,E1,2000,1.492,1654.437,3,1792.265,120.228,6.708
,,E2,2000,1.587,1846.774,,,,
,,E3,2000,1.601,1875.583,,,,
STD2,BSA,E4,1500,1.404,1476.303,3,1490.64,69.691,4.675
,,E5,1500,1.449,1566.384,,,,
,,E6,1500,1.381,1429.233,,,,
STD3,BSA,E7,1000,1.274,1212.753,3,1262.866,49.516,3.921
,,E8,1000,1.3,1264.083,,,,
,,E9,1000,1.323,1311.762,,,,
STD4,BSA,E10,750,1.101,861.354,3,951.3,112.197,11.794
,,E11,750,1.207,1077.022,,,,
,,E12,750,1.128,915.524,,,,
STD5,BSA,F1,500,0.936,526.388,3,575.554,49.612,8.62
,,F2,500,0.985,625.599,,,,
,,F3,500,0.96,574.675,,,,
STD6,BSA,F4,250,0.736,121.021,3,185.471,58.758,31.68
,,F5,250,0.775,199.335,,,,
,,F6,250,0.793,236.057,,,,
STD7,BSA,F7,125,0.711,69.487,3,77.197,21.166,27.419
,,F8,125,0.707,60.966,,,,
,,F9,125,0.726,101.138,,,,
STD8,BSA,F10,0,0.576,<0.000,0,?????,?????,?????
,,F11,0,0.573,<0.000,,,,
,,F12,0,0.57,<0.000,,,,
