"Family","Temperature","n","mean","sd","se","median","min","max"
"Family 1","ambient",8,31.7221159326651,24.3843977132153,8.62118648908212,23.1887766061694,5.76281511327213,72.1480873485998
"Family 1","36C",8,22.5453931233924,14.7529108792074,5.21594166246417,27.3602116315711,2.83471213769398,42.4648606982798
"Family 9","ambient",8,19.8449735423821,19.7989193471386,6.99997506526362,14.1154894327966,2.08506766205752,62.0522696132366
"Family 9","36C",8,22.038399119357,13.6317871552763,4.81956456859377,21.1609120377934,5.50478279315032,43.7884850125061
