"plate","well","sample_id","family","temperature","individual","weight_mg","dilution","luminescence"
"plate-01","C07","1_03_36C","Family 1","36C","03",3.1,25,4542
"plate-01","C08","1_03_36C","Family 1","36C","03",3.1,25,5385
"plate-01","C09","1_03_36C","Family 1","36C","03",3.1,25,4568
"plate-01","C10","1_04_36C","Family 1","36C","04",12.4,25,6309
"plate-01","C11","1_04_36C","Family 1","36C","04",12.4,25,3369
"plate-01","C12","1_04_36C","Family 1","36C","04",12.4,25,5548
"plate-01","D01","1_05_36C","Family 1","36C","05",25.7,25,99029
"plate-01","D02","1_05_36C","Family 1","36C","05",25.7,25,89772
"plate-01","D03","1_05_36C","Family 1","36C","05",25.7,25,93511
"plate-01","D04","1_06_36C","Family 1","36C","06",13,25,56801
"plate-01","D05","1_06_36C","Family 1","36C","06",13,25,55712
"plate-01","D06","1_06_36C","Family 1","36C","06",13,25,57887
"plate-01","D07","1_07_36C","Family 1","36C","07",6.1,25,22179
"plate-01","D08","1_07_36C","Family 1","36C","07",6.1,25,20629
"plate-01","D09","1_07_36C","Family 1","36C","07",6.1,25,22171
"plate-01","D10","1_08_36C","Family 1","36C","08",8.8,25,46456
"plate-01","D11","1_08_36C","Family 1","36C","08",8.8,25,47737
"plate-01","D12","1_08_36C","Family 1","36C","08",8.8,25,44512
"plate-01","E01","9_01_ambient","Family 9","ambient","01",7.3,25,7587
"plate-01","E02","9_01_ambient","Family 9","ambient","01",7.3,25,7324
"plate-01","E03","9_01_ambient","Family 9","ambient","01",7.3,25,7098
"plate-01","E04","9_02_ambient","Family 9","ambient","02",4.4,25,4924
"plate-01","E05","9_02_ambient","Family 9","ambient","02",4.4,25,4796
"plate-01","E06","9_02_ambient","Family 9","ambient","02",4.4,25,5252
"plate-01","E07","9_03_ambient","Family 9","ambient","03",4.3,25,10788
"plate-01","E08","9_03_ambient","Family 9","ambient","03",4.3,25,11788
"plate-01","E09","9_03_ambient","Family 9","ambient","03",4.3,25,11825
"plate-01","E10","9_04_ambient","Family 9","ambient","04",1.8,25,5276
"plate-01","E11","9_04_ambient","Family 9","ambient","04",1.8,25,5688
"plate-01","E12","9_04_ambient","Family 9","ambient","04",1.8,25,5994
"plate-01","F01","9_05_ambient","Family 9","ambient","05",9.2,25,70560
"plate-01","F02","9_05_ambient","Family 9","ambient","05",9.2,25,70742
"plate-01","F03","9_05_ambient","Family 9","ambient","05",9.2,25,69326
"plate-01","F04","9_06_ambient","Family 9","ambient","06",4.3,25,3792
"plate-01","F05","9_06_ambient","Family 9","ambient","06",4.3,25,3376
"plate-01","F06","9_06_ambient","Family 9","ambient","06",4.3,25,3778
"plate-01","F07","9_07_ambient","Family 9","ambient","07",2.4,25,10100
"plate-01","F08","9_07_ambient","Family 9","ambient","07",2.4,25,9429
"plate-01","F09","9_07_ambient","Family 9","ambient","07",2.4,25,10378
"plate-01","F10","9_08_ambient","Family 9","ambient","08",7.4,25,2669
"plate-01","F11","9_08_ambient","Family 9","ambient","08",7.4,25,2825
"plate-01","F12","9_08_ambient","Family 9","ambient","08",7.4,25,2539
"plate-01","G01","9_01_36C","Family 9","36C","01",7.7,25,15396
"plate-01","G02","9_01_36C","Family 9","36C","01",7.7,25,13953
"plate-01","G03","9_01_36C","Family 9","36C","01",7.7,25,13889
"plate-01","G04","9_02_36C","Family 9","36C","02",15.7,25,11887
"plate-01","G05","9_02_36C","Family 9","36C","02",15.7,25,12805
"plate-01","G06","9_02_36C","Family 9","36C","02",15.7,25,12878
"plate-01","G07","9_03_36C","Family 9","36C","03",10.4,25,44070
"plate-01","G08","9_03_36C","Family 9","36C","03",10.4,25,45147
"plate-01","G09","9_03_36C","Family 9","36C","03",10.4,25,42353
"plate-01","G10","9_04_36C","Family 9","36C","04",11.3,25,23819
"plate-01","G11","9_04_36C","Family 9","36C","04",11.3,25,23562
"plate-01","G12","9_04_36C","Family 9","36C","04",11.3,25,24569
"plate-01","H01","9_05_36C","Family 9","36C","05",9.2,25,47510
"plate-01","H02","9_05_36C","Family 9","36C","05",9.2,25,51778
"plate-01","H03","9_05_36C","Family 9","36C","05",9.2,25,50054
"plate-01","H04","9_06_36C","Family 9","36C","06",4.3,25,13583
"plate-01","H05","9_06_36C","Family 9","36C","06",4.3,25,14333
"plate-01","H06","9_06_36C","Family 9","36C","06",4.3,25,14402
"plate-01","H07","9_07_36C","Family 9","36C","07",2.4,25,2685
"plate-01","H08","9_07_36C","Family 9","36C","07",2.4,25,2382
"plate-01","H09","9_07_36C","Family 9","36C","07",2.4,25,2157
"plate-01","H10","9_08_36C","Family 9","36C","08",4.9,25,19314
"plate-01","H11","9_08_36C","Family 9","36C","08",4.9,25,17222
"plate-01","H12","9_08_36C","Family 9","36C","08",4.9,25,19417
