ID,Family,20,43,67,92
1,1,0,1,1,1
2,1,0,1,1,1
3,1,0,1,1,1
4,1,0,1,1,1
5,1,0,1,1,1
6,1,0,1,1,1
7,1,0,1,1,1
8,1,0,1,1,1
9,1,0,1,1,1
10,1,0,1,1,1
11,1,0,1,1,1
12,1,0,1,1,1
13,1,0,1,1,1
14,1,0,1,1,1
15,1,0,1,1,1
16,1,0,1,1,1
17,1,0,1,1,1
18,1,0,1,1,1
19,1,0,1,1,1
20,1,0,1,1,1
21,1,0,1,1,1
22,1,0,1,1,1
23,1,0,1,1,1
24,1,0,1,1,1
25,1,0,1,1,1
26,1,0,1,1,1
27,1,0,1,1,1
28,1,0,1,1,1
29,1,0,0,1,1
30,1,0,0,1,1
31,1,0,0,1,1
32,1,0,0,1,1
33,1,0,0,1,1
34,1,0,0,0,1
35,1,0,0,0,0
36,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
40,2,1,1,1,1
41,1,1,1,1,1
42,2,1,1,1,1
43,2,1,1,1,1
44,2,1,1,1,1
45,2,1,1,1,1
46,2,1,1,1,1
47,2,0,1,1,1
48,2,0,1,1,1
49,2,0,1,1,1
50,2,0,1,1,1
51,2,0,1,1,1
52,2,0,1,1,1
53,2,0,1,1,1
54,2,0,1,1,1
55,2,0,1,1,1
56,2,0,1,1,1
57,2,0,1,1,1
58,2,0,1,1,1
59,2,0,1,1,1
60,2,0,1,1,1
61,2,0,1,1,1
62,2,0,1,1,1
63,2,0,1,1,1
64,2,0,1,1,1
65,2,0,1,1,1
66,2,0,1,1,1
67,2,0,1,1,1
68,2,0,1,1,1
69,2,0,1,1,1
70,2,0,1,1,1
71,2,0,1,1,1
72,2,0,1,1,1
73,2,0,0,1,1
74,2,0,0,1,1
75,2,0,0,0,0
76,2,0,0,0,0
77,3,1,1,1,1
78,3,1,1,1,1
79,3,1,1,1,1
80,3,1,1,1,1
81,3,1,1,1,1
82,3,1,1,1,1
83,3,1,1,1,1
84,3,1,1,1,1
85,3,1,1,1,1
86,3,0,1,1,1
87,3,0,1,1,1
88,3,0,1,1,1
89,3,0,1,1,1
90,3,0,1,1,1
91,3,0,1,1,1
92,3,0,1,1,1
93,3,0,1,1,1
94,3,0,1,1,1
95,3,0,1,1,1
96,3,0,1,1,1
97,3,0,1,1,1
98,3,0,1,1,1
99,3,0,1,1,1
100,3,0,1,1,1
101,3,0,1,1,1
102,3,0,1,1,1
103,3,0,1,1,1
104,3,0,0,1,1
105,3,0,0,0,0
106,5,1,1,1,1
107,5,1,1,1,1
108,5,1,1,1,1
109,5,0,1,1,1
110,5,0,1,1,1
111,5,0,1,1,1
112,5,0,1,1,1
113,5,0,1,1,1
114,5,0,1,1,1
115,5,0,1,1,1
116,5,0,1,1,1
117,5,0,1,1,1
118,5,0,1,1,1
119,5,0,1,1,1
120,5,0,1,1,1
121,3,0,1,1,1
122,5,0,1,1,1
123,5,0,1,1,1
124,5,0,1,1,1
125,5,0,1,1,1
126,5,0,1,1,1
127,5,0,1,1,1
128,5,0,1,1,1
129,5,0,1,1,1
130,5,0,1,1,1
131,5,0,1,1,1
132,5,0,1,1,1
133,5,0,1,1,1
134,5,0,1,1,1
135,5,0,1,1,1
136,5,0,0,1,1
137,5,0,0,1,1
138,5,0,0,1,1
139,5,0,0,1,1
140,5,0,0,1,1
141,5,0,0,1,1
142,5,0,0,0,0
143,5,0,0,0,0
144,5,0,0,0,0
145,5,0,0,0,0
146,5,0,0,0,0
147,6,0,1,1,1
148,6,0,1,1,1
149,6,0,1,1,1
150,6,0,1,1,1
151,6,0,1,1,1
152,6,0,1,1,1
153,6,0,1,1,1
154,6,0,1,1,1
155,6,0,1,1,1
156,6,0,1,1,1
157,6,0,1,1,1
158,6,0,1,1,1
159,6,0,1,1,1
160,6,0,1,1,1
161,5,0,1,1,1
162,6,0,1,1,1
163,6,0,1,1,1
164,6,0,1,1,1
165,6,0,1,1,1
166,6,0,1,1,1
167,6,0,1,1,1
168,6,0,1,1,1
169,6,0,1,1,1
170,6,0,1,1,1
171,6,0,1,1,1
172,6,0,1,1,1
173,6,0,1,1,1
174,6,0,1,1,1
175,6,0,1,1,1
176,6,0,1,1,1
177,6,0,1,1,1
178,6,0,0,1,1
179,6,0,0,1,1
180,6,0,0,1,1
181,6,0,0,1,1
182,6,0,0,1,1
183,6,0,0,1,1
184,6,0,0,0,1
185,6,0,0,0,1
186,6,0,0,0,0
187,6,0,0,0,0
188,6,0,0,0,0
189,6,0,0,0,0
190,6,0,0,0,0
191,7,1,1,1,1
192,7,1,1,1,1
193,7,0,1,1,1
194,7,0,1,1,1
195,7,0,1,1,1
196,7,0,1,1,1
197,7,0,1,1,1
198,7,0,1,1,1
199,7,0,1,1,1
200,7,0,1,1,1
201,6,1,1,1,1
202,7,1,1,1,1
203,7,0,1,1,1
204,7,0,1,1,1
205,7,0,1,1,1
206,7,0,1,1,1
207,7,0,1,1,1
208,7,0,1,1,1
209,7,0,1,1,1
210,7,0,1,1,1
211,7,0,1,1,1
212,7,0,1,1,1
213,7,0,1,1,1
214,7,0,1,1,1
215,7,0,1,1,1
216,7,0,1,1,1
217,7,0,1,1,1
218,7,0,1,1,1
219,7,0,1,1,1
220,7,0,1,1,1
221,7,0,1,1,1
222,7,0,1,1,1
223,7,0,1,1,1
224,7,0,1,1,1
225,7,0,1,1,1
226,7,0,1,1,1
227,7,0,1,1,1
228,7,0,1,1,1
229,7,0,1,1,1
230,7,0,1,1,1
231,7,0,1,1,1
232,7,0,0,0,1
233,7,0,0,0,1
234,7,0,0,0,1
235,7,0,0,0,1
236,7,0,0,0,0
237,7,0,0,0,0
238,7,0,0,0,0
239,7,0,0,0,0
240,7,0,0,0,0
241,7,0,0,0,0
242,7,0,0,0,0
,7,0,0,0,0
243,7,0,0,0,0
244,8,1,1,1,1
245,8,0,1,1,1
246,8,0,1,1,1
247,8,0,1,1,1
248,8,0,1,1,1
249,8,0,1,1,1
250,8,0,1,1,1
251,8,0,1,1,1
252,8,0,1,1,1
253,8,0,1,1,1
254,8,0,1,1,1
255,8,0,1,1,1
256,8,0,1,1,1
257,8,0,1,1,1
258,8,0,1,1,1
259,8,0,1,1,1
260,8,0,1,1,1
261,8,0,1,1,1
262,8,0,1,1,1
263,8,0,1,1,1
264,8,0,1,1,1
265,8,0,1,1,1
266,8,0,1,1,1
267,8,0,1,1,1
268,8,0,1,1,1
269,8,0,1,1,1
270,8,0,1,1,1
271,8,0,1,1,1
272,8,0,1,1,1
273,8,0,1,1,1
274,8,0,1,1,1
275,8,0,1,1,1
276,8,0,0,1,1
277,8,0,0,1,1
278,8,0,0,1,1
279,8,0,0,0,1
280,8,0,0,0,1
281,8,0,0,0,1
282,8,0,0,0,0
283,8,0,0,0,0
284,8,0,0,0,0
285,8,0,0,0,0
286,8,0,0,0,0
287,8,0,0,0,0
289,9,0,1,1,1
290,9,0,1,1,1
291,9,0,1,1,1
292,9,0,1,1,1
293,9,0,1,1,1
294,9,0,1,1,1
295,9,0,1,1,1
296,9,0,1,1,1
297,9,0,1,1,1
298,9,0,1,1,1
299,9,0,1,1,1
300,9,0,1,1,1
301,9,0,1,1,1
302,9,0,1,1,1
303,9,0,1,1,1
304,9,0,1,1,1
305,9,0,1,1,1
306,9,0,1,1,1
307,9,0,1,1,1
308,9,0,1,1,1
309,9,0,1,1,1
310,9,0,1,1,1
311,9,0,1,1,1
312,9,0,1,1,1
313,9,0,1,1,1
314,9,0,1,1,1
315,9,0,1,1,1
316,9,0,1,1,1
317,9,0,1,1,1
318,9,0,1,1,1
319,9,0,1,1,1
320,9,0,1,1,1
321,9,0,1,1,1
322,9,0,1,1,1
323,9,0,1,1,1
324,9,0,1,1,1
325,9,0,1,1,1
326,9,0,1,1,1
327,9,0,1,1,1
328,9,0,0,1,1
329,9,0,0,1,1
330,9,0,0,1,1
331,9,0,0,1,1
332,9,0,0,1,1
333,9,0,0,1,1
334,9,0,0,1,1
335,9,0,0,0,1
336,9,0,0,0,0
