imageJ_ID,Area,sample_ID.group
1,206.884,13
2,169.099,15
3,116.774,16
4,135.451,14
5,113.41,17
6,177.375,18
7,201.355,19
8,194.03,20
9,91.9,21
10,198.082,22
11,131.808,23
