uid,Family,time,status,n_observations,experiment_id,Experiment,temperature_C,Family_identity_note
19,9,96.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
190,10,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
191,1,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
192,1,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
193,1,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
194,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
195,1,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
196,1,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
197,1,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
198,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
199,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
20,9,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
201,1,20,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
202,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
203,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
204,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
205,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
206,1,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
207,1,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
208,1,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
209,1,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
210,1,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
22,9,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
23,3,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
24,8,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
25,8,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
26,7,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
28,5,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
29,7,99.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
35,7,69.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
36,5,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
37,3,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
38,2,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
39,2,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
41,5,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
43,9,96.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
44,6,48,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
45,5,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
46,5,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
47,5,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
48,7,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
49,3,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
51,6,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
52,3,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
53,5,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
55,5,99.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
56,9,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
57,7,96.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
58,3,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
59,6,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
60,7,96.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
65,3,96.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
66,3,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
68,3,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
