contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
family1 - family5,0.0072935782959029916,0.006717325182385828,74,1.085786097571726,0.6992617073276268,family:treatment,metabolism_per_area_mm2_measurement
family1 - family7,-0.0065064095782719255,0.006632827162361984,74,-0.980940618382548,0.7607018204958296,family:treatment,metabolism_per_area_mm2_measurement
family1 - family9,0.016059692205262162,0.006632827162361985,74,2.4212438847182653,0.08186430087204577,family:treatment,metabolism_per_area_mm2_measurement
family5 - family7,-0.013799987874174916,0.006632827162361985,74,-2.0805589436255816,0.1690167968163192,family:treatment,metabolism_per_area_mm2_measurement
family5 - family9,0.00876611390935917,0.006632827162361987,74,1.321625559475231,0.5522650260301498,family:treatment,metabolism_per_area_mm2_measurement
family7 - family9,0.022566101783534086,0.0065472387099921045,74,3.4466593907893883,0.0050917485805849205,family:treatment,metabolism_per_area_mm2_measurement
family1 - family5,0.0072935782959029916,0.006717325182385828,74,1.085786097571726,0.6992617073276268,family,metabolism_per_area_mm2_measurement
family1 - family7,-0.0065064095782719255,0.006632827162361984,74,-0.980940618382548,0.7607018204958296,family,metabolism_per_area_mm2_measurement
family1 - family9,0.016059692205262162,0.006632827162361985,74,2.4212438847182653,0.08186430087204577,family,metabolism_per_area_mm2_measurement
family5 - family7,-0.013799987874174916,0.006632827162361985,74,-2.0805589436255816,0.1690167968163192,family,metabolism_per_area_mm2_measurement
family5 - family9,0.00876611390935917,0.006632827162361987,74,1.321625559475231,0.5522650260301498,family,metabolism_per_area_mm2_measurement
family7 - family9,0.022566101783534086,0.0065472387099921045,74,3.4466593907893883,0.0050917485805849205,family,metabolism_per_area_mm2_measurement
