imageJ_ID,Area,sample_ID.group
1,1120.278,42
2,621.472,18
3,220.861,86
4,1428.222,49
5,357.028,105
6,954.444,24
7,615.194,78
8,783.5,111
9,420.611,107
10,572.667,115
11,1020.806,21
12,709.861,43
13,919.056,83
14,979.417,25
15,470.083,60
16,882.222,101
17,539.667,75
18,556.889,23
19,745.917,17
20,473.056,19
