imageJ_ID,Area,sample_ID.group
1,108.962,45
2,169.635,47
3,88.486,46
4,161.715,50
5,182.448,48
6,172.778,51
7,175.889,49
8,124.203,53
9,143.532,55
10,177.76,52
11,167.869,54
