imageJ_ID,Area,sample_ID.group
1,106.548,25
2,106.618,24
3,176.44,23
4,136.172,29
5,133.803,27
6,152.634,28
7,176.861,26
8,200.526,30
9,146.936,33
10,116.751,31
11,114.294,32
