imageJ_ID,Area,sample_ID.group
1,133.104,35
2,109.991,34
3,134.44,36
4,187.964,37
5,178.045,40
6,220.624,38
7,114.937,39
8,154.841,44
9,279.719,41
10,147.982,42
11,124.562,43
