imageJ_ID,Area,sample_ID.group
1,139.17,71
2,205.357,68
3,199.084,69
4,187.687,70
5,196.962,67
6,226.039,77
7,188.613,76
8,216.982,72
9,137.871,73
10,186.031,75
11,157.44,74
