imageJ_ID,area_mm2.measurement,sample_ID.group
1,9031,C-04
2,8809,C-05
3,7654,C-06
4,6386,C-07
5,8562,C-08
6,7127,C-03
7,7369,C-02
8,7395,C-01
9,8969,C-11
10,8082,C-10
11,9991,C-09
12,9226,C-12
13,8996,C-13
14,8062,C-24
15,8288,C-23
16,5712,C-21
17,8006,C-18
18,10666,C-26
19,9971,C-16
20,8046,C-20
21,7051,C-22
22,6249,C-17
23,8765,C-19
24,7340,C-25
25,6141,C-15
26,7825,C-14
27,7650,C-37
28,9702,C-33
29,6918,C-35
30,5304,C-31
31,9055,C-29
32,7094,C-36
33,4853,C-30
34,8334,C-28
35,5622,C-32
36,4239,C-34
37,8182,C-39
38,7657,C-38
39,6972,C-43
40,9250,C-45
41,7413,C-46
42,8679,C-42
43,10022,C-40
44,6195,C-44
45,7421,C-41
