plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,imageJ_ID
plate-A,A01,,,C-01,,,,,,,,
plate-A,A02,,,C-25,,,,,,,,
plate-A,A03,,,OAE-03,,,,,,,,
plate-A,A04,,,OAE-27,,,,,,,,
plate-A,A05,,,C-05,,,,,,,,
plate-A,A06,,,C-29,,,,,,,,
plate-A,B01,,,OAE-07,,,,,,,,
plate-A,B02,,,OAE-31,,,,,,,,
plate-A,B03,,,C-09,,,,,,,,
plate-A,B04,,,C-33,,,,,,,,
plate-A,B05,,,OAE-11,,,,,,,,
plate-A,B06,,,OAE-35,,,,,,,,
plate-A,C01,,,C-13,,,,,,,,
plate-A,C02,,,C-37,,,,,,,,
plate-A,C03,,,OAE-15,,,,,,,,
plate-A,C04,,,OAE-39,,,,,,,,
plate-A,C05,,,C-17,,,,,,,,
plate-A,C06,,,C-41,,,,,,,,
plate-A,D01,,,OAE-19,,,,,,,,
plate-A,D02,,,OAE-43,,,,,,,,
plate-A,D03,,,C-21,,,,,,,,
plate-A,D04,,,C-45,,,,,,,,
plate-A,D05,,,OAE-23,,,,,,,,
plate-A,D06,,,,,,,,,,,
plate-B,A01,,,,,,,,,,,
plate-B,A02,,,C-02,,,,,,,,
plate-B,A03,,,C-26,,,,,,,,
plate-B,A04,,,OAE-04,,,,,,,,
plate-B,A05,,,OAE-28,,,,,,,,
plate-B,A06,,,C-06,,,,,,,,
plate-B,B01,,,C-30,,,,,,,,
plate-B,B02,,,OAE-08,,,,,,,,
plate-B,B03,,,OAE-32,,,,,,,,
plate-B,B04,,,C-10,,,,,,,,
plate-B,B05,,,C-34,,,,,,,,
plate-B,B06,,,OAE-12,,,,,,,,
plate-B,C01,,,OAE-36,,,,,,,,
plate-B,C02,,,C-14,,,,,,,,
plate-B,C03,,,C-38,,,,,,,,
plate-B,C04,,,OAE-16,,,,,,,,
plate-B,C05,,,OAE-40,,,,,,,,
plate-B,C06,,,C-18,,,,,,,,
plate-B,D01,,,C-42,,,,,,,,
plate-B,D02,,,OAE-20,,,,,,,,
plate-B,D03,,,OAE-44,,,,,,,,
plate-B,D04,,,C-22,,,,,,,,
plate-B,D05,,,C-46,,,,,,,,
plate-B,D06,,,OAE-24,,,,,,,,
plate-C,A01,,,OAE-25,,,,,,,,
plate-C,A02,,,,,,,,,,,
plate-C,A03,,,C-03,,,,,,,,
plate-C,A04,,,C-27,,,,,,,,
plate-C,A05,,,OAE-05,,,,,,,,
plate-C,A06,,,OAE-29,,,,,,,,
plate-C,B01,,,C-07,,,,,,,,
plate-C,B02,,,C-31,,,,,,,,
plate-C,B03,,,OAE-09,,,,,,,,
plate-C,B04,,,OAE-33,,,,,,,,
plate-C,B05,,,C-11,,,,,,,,
plate-C,B06,,,C-35,,,,,,,,
plate-C,C01,,,OAE-13,,,,,,,,
plate-C,C02,,,OAE-37,,,,,,,,
plate-C,C03,,,C-15,,,,,,,,
plate-C,C04,,,C-39,,,,,,,,
plate-C,C05,,,OAE-17,,,,,,,,
plate-C,C06,,,OAE-41,,,,,,,,
plate-C,D01,,,C-19,,,,,,,,
plate-C,D02,,,C-43,,,,,,,,
plate-C,D03,,,OAE-21,,,,,,,,
plate-C,D04,,,OAE-45,,,,,,,,
plate-C,D05,,,C-23,,,,,,,,
plate-C,D06,,,OAE-01,,,,,,,,
plate-D,A01,,,OAE-02,,,,,,,,
plate-D,A02,,,OAE-26,,,,,,,,
plate-D,A03,,,,,,,,,,,
plate-D,A04,,,C-04,,,,,,,,
plate-D,A05,,,C-28,,,,,,,,
plate-D,A06,,,OAE-06,,,,,,,,
plate-D,B01,,,OAE-30,,,,,,,,
plate-D,B02,,,C-08,,,,,,,,
plate-D,B03,,,C-32,,,,,,,,
plate-D,B04,,,OAE-10,,,,,,,,
plate-D,B05,,,OAE-34,,,,,,,,
plate-D,B06,,,C-12,,,,,,,,
plate-D,C01,,,C-36,,,,,,,,
plate-D,C02,,,OAE-14,,,,,,,,
plate-D,C03,,,OAE-38,,,,,,,,
plate-D,C04,,,C-16,,,,,,,,
plate-D,C05,,,C-40,,,,,,,,
plate-D,C06,,,OAE-18,,,,,,,,
plate-D,D01,,,OAE-42,,,,,,,,
plate-D,D02,,,C-20,,,,,,,,
plate-D,D03,,,C-44,,,,,,,,
plate-D,D04,,,OAE-22,,,,,,,,
plate-D,D05,,,OAE-46,,,,,,,,
plate-D,D06,,,C-24,,,,,,,,
