imageJ_ID,area_mm2.measurement,sample_ID.group
1,6008,OAE-03
2,6553,OAE-04
3,12826,OAE-01
4,8910,OAE-02
5,6060,OAE-05
6,6207,OAE-06
7,8804,OAE-10
8,10017,OAE-09
9,5072,OAE-07
10,8099,OAE-08
11,6478,OAE-11
12,8288,OAE-12
13,7126,OAE-13
14,5620,OAE-25
15,4760,OAE-20
16,7422,OAE-24
17,9941,OAE-26
18,2756,OAE-21
19,6924,OAE-23
20,9695,OAE-15
21,5317,OAE-18
22,6617,OAE-17
23,3889,OAE-22
24,7189,OAE-16
25,4858,OAE-19
26,6051,OAE-14
27,6072,OAE-32
28,7555,OAE-36
29,6605,OAE-29
30,4498,OAE-34
31,5179,OAE-33
32,5397,OAE-31
33,7118,OAE-30
34,9574,OAE-28
35,3394,OAE-35
36,7642,OAE-37
37,8385,OAE-39
38,5493,OAE-38
39,8749,OAE-27
40,10521,OAE-42
41,11306,OAE-43
42,7289,OAE-45
43,4560,OAE-44
44,11204,OAE-41
45,5282,OAE-46
46,10788,OAE-40
