imageJ_ID,Area,sample_ID.group
1,1569.815,33
2,991.183,34
3,996.234,40
4,1015.471,100
5,558.79,61
6,778.919,36
7,395.887,32
8,431.788,69
9,473.104,67
10,358.11,64
11,1224.59,137
12,1013.626,31
13,1228.401,136
14,1233.452,135
15,868.658,140
16,644.174,62
17,584.529,139
18,361.648,138
19,905.497,134
20,836.567,63
