contrast,estimate,SE,df,t.ratio,p.value,comparison,metric
family1 - family10,-1.3479371234866781e-4,8.97038494261594e-4,99,-0.15026524860521687,0.9999999911650327,family:treatment,metabolism_per_area_mm2_measurement
family1 - family2,-8.622047359011818e-4,8.970384942615941e-4,99,-0.961168045091436,0.9884403773867008,family:treatment,metabolism_per_area_mm2_measurement
family1 - family3,-0.001378902313667294,8.970384942615946e-4,99,-1.5371718409947948,0.8351656781258261,family:treatment,metabolism_per_area_mm2_measurement
family1 - family5,-0.0013495801174044195,8.970384942615927e-4,99,-1.5044840617629698,0.850903059652,family:treatment,metabolism_per_area_mm2_measurement
family1 - family6,-5.394404309881977e-4,8.970384942615935e-4,99,-0.6013570593001626,0.9995666026704126,family:treatment,metabolism_per_area_mm2_measurement
family1 - family7,-4.1174742802471096e-4,8.970384942615933e-4,99,-0.4590075349705535,0.9999431561480292,family:treatment,metabolism_per_area_mm2_measurement
family1 - family8,-3.9733485897117343e-4,8.970384942615941e-4,99,-0.44294070044144923,0.9999567153446673,family:treatment,metabolism_per_area_mm2_measurement
family1 - family9,-3.7971139814101205e-4,8.97038494261594e-4,99,-0.4232944300273036,0.9999694429013131,family:treatment,metabolism_per_area_mm2_measurement
family10 - family2,-7.27411023552514e-4,8.970384942615939e-4,99,-0.8109027964862194,0.996307372279639,family:treatment,metabolism_per_area_mm2_measurement
family10 - family3,-0.0012441086013186262,8.97038494261594e-4,99,-1.3869065923895791,0.90020129834313,family:treatment,metabolism_per_area_mm2_measurement
family10 - family5,-0.0012147864050557518,8.970384942615932e-4,99,-1.3542188131577522,0.9118227158539691,family:treatment,metabolism_per_area_mm2_measurement
family10 - family6,-4.0464671863952987e-4,8.970384942615935e-4,99,-0.4510918106949457,0.9999502320036102,family:treatment,metabolism_per_area_mm2_measurement
family10 - family7,-2.7695371567604314e-4,8.970384942615936e-4,99,-0.3087422863653364,0.9999973671374944,family:treatment,metabolism_per_area_mm2_measurement
family10 - family8,-2.625411466225056e-4,8.970384942615939e-4,99,-0.2926754518362325,0.9999982685256903,family:treatment,metabolism_per_area_mm2_measurement
family10 - family9,-2.4491768579234423e-4,8.970384942615937e-4,99,-0.27302918142208676,0.9999989971890222,family:treatment,metabolism_per_area_mm2_measurement
family2 - family3,-5.166975777661122e-4,8.970384942615946e-4,99,-0.5760037959033592,0.9996850047160183,family:treatment,metabolism_per_area_mm2_measurement
family2 - family5,-4.873753815032377e-4,8.970384942615936e-4,99,-0.5433160166715317,0.9997963262191429,family:treatment,metabolism_per_area_mm2_measurement
family2 - family6,3.227643049129841e-4,8.970384942615939e-4,99,0.3598109857912739,0.9999913038938281,family:treatment,metabolism_per_area_mm2_measurement
family2 - family7,4.504573078764708e-4,8.97038494261594e-4,99,0.502160510120883,0.999887456327494,family:treatment,metabolism_per_area_mm2_measurement
family2 - family8,4.6486987693000834e-4,8.970384942615942e-4,99,0.5182273446499868,0.999857237316568,family:treatment,metabolism_per_area_mm2_measurement
family2 - family9,4.8249333776016973e-4,8.970384942615941e-4,99,0.5378736150641326,0.9998111354292152,family:treatment,metabolism_per_area_mm2_measurement
family3 - family5,2.932219626287447e-5,8.970384942615931e-4,99,0.03268777923182812,1,family:treatment,metabolism_per_area_mm2_measurement
family3 - family6,8.394618826790963e-4,8.970384942615936e-4,99,0.9358147816946338,0.9902933200712979,family:treatment,metabolism_per_area_mm2_measurement
